Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PointsFor,PointsAgainst,PointDifferential,Coaches,OffPtsRank,OffYdsRank,DefPtsRank,DefYdsRank,TakeawayGiveawayRank,OverallPtDifferentialRank,OverallYdDifferentialRank,totalteams,MoV,SoS,SRS,OSRS,DSRS
2021,NFL,Denver Broncos,7,10,0,4th of 4,,335,322,13,Fangio,23,19,3,8,15,17,17,32,0.8,-1.3,-0.5,-4.7,4.2
2020,NFL,Denver Broncos,5,11,0,4th of 4,,323,446,-123,Fangio,28,23,25,21,32,29,26,32,-7.7,1.7,-6,-4.3,-1.7
2019,NFL,Denver Broncos,7,9,0,2nd of 4,,282,316,-34,Fangio,28,28,10,12,13,21,25,32,-2.1,0,-2.1,-4.8,2.7
2018,NFL,Denver Broncos,6,10,0,3rd of 4,,329,349,-20,Joseph,24,19,13,22,8,18,23,32,-1.3,0.7,-0.5,-3.6,3.1
2017,NFL,Denver Broncos,5,11,0,4th of 4,,289,382,-93,Joseph,27,17,22,3,31,27,8,32,-5.8,-0.9,-6.7,-3.9,-2.9
2016,NFL,Denver Broncos,9,7,0,3rd of 4,,333,297,36,Kubiak,22,27,4,4,13,9,14,32,2.3,1.8,4,-2,6.1
2015,NFL,Denver Broncos*,12,4,0,1st of 4,Won SB,355,296,59,Kubiak,19,16,4,1,19,10,3,32,3.7,2.1,5.8,0.3,5.5
2014,NFL,Denver Broncos*,12,4,0,1st of 4,Lost Div,482,354,128,Fox,2,4,16,3,11,4,2,32,8,1.6,9.6,9.2,0.4
2013,NFL,Denver Broncos*,13,3,0,1st of 4,Lost SB,606,399,207,Fox,1,1,22,19,14,1,1,32,12.9,-1.6,11.4,14.1,-2.7
2012,NFL,Denver Broncos*,13,3,0,1st of 4,Lost Div,481,289,192,Fox,2,4,4,2,17,2,1,32,12,-1.9,10.1,6.3,3.8
2011,NFL,Denver Broncos*,8,8,0,1st of 4,Lost Div,309,390,-81,Fox,25,23,24,20,26,25,27,32,-5.1,-0.2,-5.3,-3.6,-1.7
2010,NFL,Denver Broncos,4,12,0,4th of 4,,344,471,-127,"McDaniels,Studesville",19,13,32,32,27,29,25,32,-7.9,-1,-8.9,-1.1,-7.8
2009,NFL,Denver Broncos,8,8,0,2nd of 4,,326,324,2,McDaniels,20,15,12,7,7,18,13,32,0.1,0.2,0.3,-1,1.3
2008,NFL,Denver Broncos,8,8,0,2nd of 4,,370,448,-78,Shanahan,16,2,30,29,31,25,14,32,-4.9,-0.9,-5.8,0.7,-6.5
2007,NFL,Denver Broncos,7,9,0,2nd of 4,,320,409,-89,Shanahan,21,11,28,19,13,23,15,32,-5.6,1.6,-3.9,-0.2,-3.8
2006,NFL,Denver Broncos,9,7,0,3rd of 4,,319,305,14,Shanahan,17,21,8,14,17,14,20,32,0.9,0.4,1.3,-0.8,2.1
2005,NFL,Denver Broncos*,13,3,0,1st of 4,Lost Conf,395,258,137,Shanahan,7,5,3,15,2,3,5,32,8.6,2.2,10.8,5,5.8
2004,NFL,Denver Broncos*,10,6,0,2nd of 4,Lost WC,381,304,77,Shanahan,9,5,9,4,24,7,1,32,4.8,1,5.9,1.6,4.3
2003,NFL,Denver Broncos*,10,6,0,2nd of 4,Lost WC,381,301,80,Shanahan,10,7,9,4,22,9,1,32,5,0.5,5.5,2.4,3.1
2002,NFL,Denver Broncos,9,7,0,2nd of 4,,392,344,48,Shanahan,7,3,15,6,21,8,1,32,3,1.9,4.9,3,1.9
2001,NFL,Denver Broncos,8,8,0,3rd of 5,,340,339,1,Shanahan,10,22,21,8,6,15,14,31,0.1,-0.5,-0.5,0.5,-1
2000,NFL,Denver Broncos*,11,5,0,2nd of 5,Lost WC,485,369,116,Shanahan,2,2,23,24,2,5,5,31,7.3,-2.2,5,7.8,-2.7
1999,NFL,Denver Broncos,6,10,0,5th of 5,,314,318,-4,Shanahan,18,14,11,7,15,20,7,31,-0.3,3.6,3.4,1,2.4
1998,NFL,Denver Broncos*,14,2,0,1st of 5,Won SB,501,309,192,Shanahan,2,3,8,11,5,2,3,30,12,-3.1,8.9,9.5,-0.6
1997,NFL,Denver Broncos*,12,4,0,2nd of 5,Won SB,472,287,185,Shanahan,1,1,6,5,4,1,1,30,11.6,-0.9,10.7,8.1,2.6
1996,NFL,Denver Broncos*,13,3,0,1st of 5,Lost Div,391,275,116,Shanahan,4,1,7,4,16,4,2,30,7.3,0.3,7.6,3.7,3.9
1995,NFL,Denver Broncos,8,8,0,4th of 5,,388,345,43,Shanahan,9,3,17,15,30,8,3,30,2.7,0.4,3.1,3.3,-0.2
1994,NFL,Denver Broncos,7,9,0,4th of 5,,347,396,-49,Phillips,10,6,25,28,22,20,19,28,-3.1,-0.3,-3.3,1.3,-4.6
1993,NFL,Denver Broncos*,9,7,0,3rd of 5,Lost WC,373,284,89,Phillips,3,5,10,19,11,4,9,28,5.6,-0.5,5,4.6,0.4
1992,NFL,Denver Broncos,8,8,0,3rd of 5,,262,329,-67,Reeves,22,21,19,22,25,19,24,28,-4.2,0.8,-3.4,-1.4,-1.9
1991,NFL,Denver Broncos*,12,4,0,1st of 5,Lost Conf,304,235,69,Reeves,12,12,3,5,6,7,8,28,4.3,-0.9,3.4,0.3,3.1
1990,NFL,Denver Broncos,5,11,0,5th of 5,,331,374,-43,Reeves,16,8,23,20,24,19,16,28,-2.7,1.9,-0.8,2.1,-2.9